freq_hz,s11_db,s21_db
2.246000000000000000e+10,-4.264095857416015889e+01,-1.190415038099319756e-01
2.248000000000000000e+10,-4.265099663361866078e+01,-1.190304191062021982e-01
2.250000000000000000e+10,-4.266042406140103083e+01,-1.190193612015482683e-01
2.252000000000000000e+10,-4.266921993181190942e+01,-1.190083321632132707e-01
2.254000000000000000e+10,-4.267736355330156073e+01,-1.189973340287022174e-01
2.256000000000000000e+10,-4.268483450805408808e+01,-1.189863687825256922e-01
2.258000000000000000e+10,-4.269161269128731817e+01,-1.189754383348154282e-01
2.260000000000000000e+10,-4.269767835006587120e+01,-1.189645445024304360e-01
2.262000000000000000e+10,-4.270301212148778802e+01,-1.189536889934211805e-01
2.264000000000000000e+10,-4.270759507013276846e+01,-1.189428733953555861e-01
2.266000000000000000e+10,-4.271140872468891558e+01,-1.189320991679504586e-01
2.268000000000000000e+10,-4.271443511372563506e+01,-1.189213676403263892e-01
2.270000000000000000e+10,-4.271665680060009151e+01,-1.189106800129147296e-01
2.272000000000000000e+10,-4.271805691751818301e+01,-1.189000373639188674e-01
2.274000000000000000e+10,-4.271861919878418234e+01,-1.188894406601349735e-01
2.276000000000000000e+10,-4.271832801329271945e+01,-1.188788907715937759e-01
2.278000000000000000e+10,-4.271716839632294693e+01,-1.188683884894788378e-01
2.280000000000000000e+10,-4.271512608067641281e+01,-1.188579345467058179e-01
2.282000000000000000e+10,-4.271218752720601231e+01,-1.188475296402036196e-01
2.284000000000000000e+10,-4.270833995475137357e+01,-1.188371744541604769e-01
2.286000000000000000e+10,-4.270357136947195897e+01,-1.188268696832499166e-01
2.288000000000000000e+10,-4.269787059353738812e+01,-1.188166160550366557e-01
2.290000000000000000e+10,-4.269122729309003006e+01,-1.188064143506695758e-01
2.292000000000000000e+10,-4.268363200536936120e+01,-1.187962654230265980e-01
2.294000000000000000e+10,-4.267507616482688348e+01,-1.187861702117218310e-01
2.296000000000000000e+10,-4.266555212805040753e+01,-1.187761297544284445e-01
2.298000000000000000e+10,-4.265505319724590549e+01,-1.187661451939913543e-01
2.300000000000000000e+10,-4.264357364203058864e+01,-1.187562177811991859e-01
2.302000000000000000e+10,-4.263110871924963874e+01,-1.187463488731305139e-01
2.304000000000000000e+10,-4.261765469051941579e+01,-1.187365399270756960e-01
2.306000000000000000e+10,-4.260320883720104490e+01,-1.187267924903908506e-01
2.308000000000000000e+10,-4.258776947251667622e+01,-1.187171081866360139e-01
