freq_hz,s11_db
2.550666666666666794e+10,-1.268921390967447715e+00
2.551333333333333206e+10,-1.257700459370669765e+00
2.552000000000000000e+10,-1.249007983364996077e+00
2.552666666666666794e+10,-1.242697076522254029e+00
2.553333333333333206e+10,-1.238507277636999415e+00
2.554000000000000000e+10,-1.236082052695506972e+00
2.554666666666666794e+10,-1.234989299677835772e+00
2.555333333333333206e+10,-1.234743727586929740e+00
2.556000000000000000e+10,-1.234830285278132100e+00
2.556666666666666794e+10,-1.234728068017636682e+00
2.557333333333333206e+10,-1.233934272047042979e+00
2.558000000000000000e+10,-1.231987770435573948e+00
2.558666666666666794e+10,-1.228491748142096940e+00
2.559333333333333206e+10,-1.223134591920041814e+00
2.560000000000000000e+10,-1.215707941712893314e+00
2.560666666666666794e+10,-1.206120558283637845e+00
2.561333333333333206e+10,-1.194406542771353053e+00
2.562000000000000000e+10,-1.180726546298439539e+00
2.562666666666666794e+10,-1.165360988222747363e+00
2.563333333333333206e+10,-1.148694960045917091e+00
2.564000000000000000e+10,-1.131195356742845881e+00
2.564666666666666794e+10,-1.113381709526732433e+00
2.565333333333333206e+10,-1.095793015028107220e+00
2.566000000000000000e+10,-1.078953392426577951e+00
2.566666666666666794e+10,-1.063339534165614886e+00
2.567333333333333206e+10,-1.049352620096843047e+00
2.568000000000000000e+10,-1.037296710113782439e+00
2.568666666666666794e+10,-1.027364762843809842e+00
2.569333333333333206e+10,-1.019632525459477357e+00
2.570000000000000000e+10,-1.014059762961411870e+00
2.570666666666666794e+10,-1.010497752088330259e+00
