freq_hz,s11_db
2.258000000000000000e+10,-9.263645577289060240e-01
2.258666666666666794e+10,-9.322419167665401130e-01
2.259333333333333206e+10,-9.364532878275910743e-01
2.260000000000000000e+10,-9.391765353376160252e-01
2.260666666666666794e+10,-9.407022086322232024e-01
2.261333333333333206e+10,-9.414110013275216460e-01
2.262000000000000000e+10,-9.417441638218688738e-01
2.262666666666666794e+10,-9.421695974973309795e-01
2.263333333333333206e+10,-9.431467262798598483e-01
2.264000000000000000e+10,-9.450931907845574464e-01
2.264666666666666794e+10,-9.483559883117806955e-01
2.265333333333333206e+10,-9.531890055979151954e-01
2.266000000000000000e+10,-9.597381103705151517e-01
2.266666666666666794e+10,-9.680342231062216696e-01
2.267333333333333206e+10,-9.779941813676029660e-01
2.268000000000000000e+10,-9.894287789001479094e-01
2.268666666666666794e+10,-1.002057099778941529e+00
2.269333333333333206e+10,-1.015526125262088186e+00
2.270000000000000000e+10,-1.029434501492905385e+00
2.270666666666666794e+10,-1.043359258389144673e+00
2.271333333333333206e+10,-1.056884125714628642e+00
2.272000000000000000e+10,-1.069627898525961962e+00
2.272666666666666794e+10,-1.081271097308902807e+00
2.273333333333333206e+10,-1.091579018046115568e+00
2.274000000000000000e+10,-1.100419261020468831e+00
2.274666666666666794e+10,-1.107772042926407963e+00
2.275333333333333206e+10,-1.113732076627238943e+00
2.276000000000000000e+10,-1.118501528653828236e+00
2.276666666666666794e+10,-1.122374451011115770e+00
2.277333333333333206e+10,-1.125713991918044998e+00
2.278000000000000000e+10,-1.128924460280002151e+00
2.278666666666666794e+10,-1.132420813950944183e+00
2.279333333333333206e+10,-1.136598285094196470e+00
2.280000000000000000e+10,-1.141804648673751865e+00
2.280666666666666794e+10,-1.148317156231039027e+00
2.281333333333333206e+10,-1.156325516319617552e+00
2.282000000000000000e+10,-1.165921634505876936e+00
2.282666666666666794e+10,-1.177096235540586067e+00
2.283333333333333206e+10,-1.189742040119752486e+00
2.284000000000000000e+10,-1.203662871728473638e+00
2.284666666666666794e+10,-1.218587897916550089e+00
2.285333333333333206e+10,-1.234190113282848111e+00
2.286000000000000000e+10,-1.250108091469217309e+00
2.286666666666666794e+10,-1.265969925940208629e+00
2.287333333333333206e+10,-1.281418125194611957e+00
2.288000000000000000e+10,-1.296134041228898415e+00
2.288666666666666794e+10,-1.309860236784487819e+00
2.289333333333333206e+10,-1.322419106484848950e+00
2.290000000000000000e+10,-1.333726133751532039e+00
