freq_hz,s11_db
2.347333333333333206e+10,-3.296007646606608610e+00
2.348000000000000000e+10,-3.334594743222065727e+00
2.348666666666666794e+10,-3.373650764236558075e+00
2.349333333333333206e+10,-3.413546045550605257e+00
2.350000000000000000e+10,-3.454651086207334298e+00
2.350666666666666794e+10,-3.497313315246824317e+00
2.351333333333333206e+10,-3.541835561661002885e+00
2.352000000000000000e+10,-3.588457331062437472e+00
2.352666666666666794e+10,-3.637339857835539370e+00
2.353333333333333206e+10,-3.688555789541108965e+00
2.354000000000000000e+10,-3.742084241740633033e+00
2.354666666666666794e+10,-3.797811794439106770e+00
2.355333333333333206e+10,-3.855539745838493459e+00
2.356000000000000000e+10,-3.914997571114131603e+00
2.356666666666666794e+10,-3.975862058434564528e+00
2.357333333333333206e+10,-4.037781052014246086e+00
2.358000000000000000e+10,-4.100400196559930599e+00
2.358666666666666794e+10,-4.163390643481358566e+00
2.359333333333333206e+10,-4.226475439733293982e+00
2.360000000000000000e+10,-4.289452341531150736e+00
2.360666666666666794e+10,-4.352211096174697147e+00
2.361333333333333206e+10,-4.414743778322088197e+00
2.362000000000000000e+10,-4.477147465623747991e+00
2.362666666666666794e+10,-4.539619278810846481e+00
2.363333333333333206e+10,-4.602444480545847760e+00
2.364000000000000000e+10,-4.665978840810108608e+00
2.364666666666666794e+10,-4.730626793052518764e+00
2.365333333333333206e+10,-4.796817028992900411e+00
2.366000000000000000e+10,-4.864977150089778490e+00
2.366666666666666794e+10,-4.935508867153464152e+00
2.367333333333333206e+10,-5.008765072516646377e+00
2.368000000000000000e+10,-5.085029942667674163e+00
2.368666666666666794e+10,-5.164503081541643503e+00
2.369333333333333206e+10,-5.247288580384243062e+00
2.370000000000000000e+10,-5.333389725224058076e+00
2.370666666666666794e+10,-5.422709894148143306e+00
2.371333333333333206e+10,-5.515059922465169961e+00
2.372000000000000000e+10,-5.610171856916824851e+00
2.372666666666666794e+10,-5.707718575999246369e+00
2.373333333333333206e+10,-5.807338255921417947e+00
2.374000000000000000e+10,-5.908662170556756799e+00
2.374666666666666794e+10,-6.011343905414831212e+00
2.375333333333333206e+10,-6.115087817214662991e+00
2.376000000000000000e+10,-6.219674540817425878e+00
2.376666666666666794e+10,-6.324981557938876620e+00
2.377333333333333206e+10,-6.430997277361597320e+00
2.378000000000000000e+10,-6.537827673043380194e+00
2.378666666666666794e+10,-6.645695195361101426e+00
2.379333333333333206e+10,-6.754930315079629821e+00
2.380000000000000000e+10,-6.865956596926007904e+00
2.380666666666666794e+10,-6.979270577527234565e+00
2.381333333333333206e+10,-7.095417925605241649e+00
2.382000000000000000e+10,-7.214967409214210647e+00
2.382666666666666794e+10,-7.338484127250160860e+00
2.383333333333333206e+10,-7.466503331558738132e+00
2.384000000000000000e+10,-7.599506018883666059e+00
2.384666666666666794e+10,-7.737897342135684475e+00
2.385333333333333206e+10,-7.881988792794500931e+00
2.386000000000000000e+10,-8.031985036169743353e+00
2.386666666666666794e+10,-8.187976218034817677e+00
2.387333333333333206e+10,-8.349936473558846828e+00
2.388000000000000000e+10,-8.517729222966645253e+00
2.388666666666666794e+10,-8.691119603269729765e+00
2.389333333333333206e+10,-8.869794044928383414e+00
2.390000000000000000e+10,-9.053386559440983916e+00
2.390666666666666794e+10,-9.241510785834597286e+00
2.391333333333333206e+10,-9.433796302443704818e+00
2.392000000000000000e+10,-9.629927215961268772e+00
2.392666666666666794e+10,-9.829680671384810609e+00
2.393333333333333206e+10,-1.003296275566705198e+01
2.394000000000000000e+10,-1.023983934189077871e+01
2.394666666666666794e+10,-1.045055974910767738e+01
2.395333333333333206e+10,-1.066557164126135326e+01
2.396000000000000000e+10,-1.088552628338941730e+01
